"","FC","log2(FC)","raw.pval","-log10(p)"
"TOP2A",2.0992,1.0699,0.0023507,2.6288
"FAM83D",2.4413,1.2877,0.010447,1.981
"AURKA",2.0631,1.0448,0.012402,1.9065
"ANLN",2.2299,1.157,0.021553,1.6665
"GLI3",0.39401,-1.3437,0.023169,1.6351
"NBR1",2.3582,1.2377,0.043862,1.3579
"CEP72",2.0929,1.0655,0.046356,1.3339
